Time,Job,Node,Task,Duration
361,0,CCPU_111,Run,60
361,0,CCPU_112,Run,60
361,0,CCPU_113,Run,60
361,0,CCPU_114,Run,60
361,0,CCPU_115,Run,60
366,3,CCPU_146,Run,60
366,3,CCPU_147,Run,60
366,3,CCPU_148,Run,60
366,3,CCPU_149,Run,60
366,3,CCPU_150,Run,60
366,3,CCPU_151,Run,60
366,3,CCPU_152,Run,60
366,3,CCPU_153,Run,60
366,3,CCPU_154,Run,60
366,3,CCPU_155,Run,60
381,1,CCPU_116,Run,60
381,1,CCPU_117,Run,60
381,1,CCPU_118,Run,60
381,1,CCPU_119,Run,60
381,1,CCPU_120,Run,60
381,1,CCPU_121,Run,60
381,1,CCPU_122,Run,60
381,1,CCPU_123,Run,60
381,1,CCPU_124,Run,60
381,1,CCPU_125,Run,60
381,1,CCPU_126,Run,60
381,1,CCPU_127,Run,60
381,1,CCPU_128,Run,60
381,1,CCPU_129,Run,60
399,2,CCPU_130,Run,60
399,2,CCPU_131,Run,60
399,2,CCPU_132,Run,60
399,2,CCPU_133,Run,60
399,2,CCPU_134,Run,60
399,2,CCPU_135,Run,60
399,2,CCPU_136,Run,60
399,2,CCPU_137,Run,60
399,2,CCPU_138,Run,60
399,2,CCPU_139,Run,60
399,2,CCPU_140,Run,60
399,2,CCPU_141,Run,60
399,2,CCPU_142,Run,60
399,2,CCPU_143,Run,60
399,2,CCPU_144,Run,60
399,2,CCPU_145,Run,60
421,0,CCPU_100,Run,60
421,0,CCPU_101,Run,60
421,0,CCPU_102,Run,60
421,0,CCPU_103,Run,60
421,0,CCPU_104,Run,60
421,0,CCPU_105,Run,60
421,0,CCPU_106,Run,60
421,0,CCPU_107,Run,60
421,0,CCPU_108,Run,60
421,0,CCPU_109,Run,60
421,0,CCPU_110,Run,60
421,0,CCPU_111,Run,60
421,0,CCPU_112,Run,60
421,0,CCPU_113,Run,60
421,0,CCPU_114,Run,60
421,0,CCPU_115,Run,60
426,3,CCPU_146,Run,60
426,3,CCPU_147,Run,60
426,3,CCPU_148,Run,60
426,3,CCPU_149,Run,60
426,3,CCPU_150,Run,60
426,3,CCPU_151,Run,60
426,3,CCPU_152,Run,60
426,3,CCPU_153,Run,60
426,3,CCPU_154,Run,60
426,3,CCPU_155,Run,60
433,4,CCPU_156,Run,60
433,4,CCPU_157,Run,60
433,4,CCPU_158,Run,60
433,4,CCPU_159,Run,60
433,4,CCPU_160,Run,60
433,4,CCPU_161,Run,60
433,4,CCPU_162,Run,60
433,4,CCPU_163,Run,60
433,4,CCPU_164,Run,60
441,1,CCPU_116,Run,60
441,1,CCPU_117,Run,60
441,1,CCPU_118,Run,60
441,1,CCPU_119,Run,60
441,1,CCPU_120,Run,60
441,1,CCPU_121,Run,60
441,1,CCPU_122,Run,60
441,1,CCPU_123,Run,60
441,1,CCPU_124,Run,60
441,1,CCPU_125,Run,60
441,1,CCPU_126,Run,60
441,1,CCPU_127,Run,60
441,1,CCPU_128,Run,60
441,1,CCPU_129,Run,60
459,2,CCPU_130,Run,60
459,2,CCPU_131,Run,60
459,2,CCPU_132,Run,60
459,2,CCPU_133,Run,60
459,2,CCPU_134,Run,60
459,2,CCPU_135,Run,60
459,2,CCPU_136,Run,60
459,2,CCPU_137,Run,60
459,2,CCPU_138,Run,60
459,2,CCPU_139,Run,60
459,2,CCPU_140,Run,60
459,2,CCPU_141,Run,60
459,2,CCPU_142,Run,60
459,2,CCPU_143,Run,60
459,2,CCPU_144,Run,60
459,2,CCPU_145,Run,60
460,5,CCPU_165,Run,60
460,5,CCPU_166,Run,60
460,5,CCPU_167,Run,60
460,5,CCPU_168,Run,60
460,5,CCPU_169,Run,60
460,5,CCPU_170,Run,60
481,0,CCPU_100,Run,60
481,0,CCPU_101,Run,60
481,0,CCPU_102,Run,60
481,0,CCPU_103,Run,60
481,0,CCPU_104,Run,60
481,0,CCPU_105,Run,60
481,0,CCPU_106,Run,60
481,0,CCPU_107,Run,60
481,0,CCPU_108,Run,60
481,0,CCPU_109,Run,60
481,0,CCPU_110,Run,60
481,0,CCPU_111,Run,60
481,0,CCPU_112,Run,60
481,0,CCPU_113,Run,60
481,0,CCPU_114,Run,60
481,0,CCPU_115,Run,60
486,3,CCPU_146,Run,60
486,3,CCPU_147,Run,60
486,3,CCPU_148,Run,60
486,3,CCPU_149,Run,60
486,3,CCPU_150,Run,60
486,3,CCPU_151,Run,60
486,3,CCPU_152,Run,60
486,3,CCPU_153,Run,60
486,3,CCPU_154,Run,60
486,3,CCPU_155,Run,60
493,4,CCPU_156,Run,60
493,4,CCPU_157,Run,60
493,4,CCPU_158,Run,60
493,4,CCPU_159,Run,60
493,4,CCPU_160,Run,60
493,4,CCPU_161,Run,60
493,4,CCPU_162,Run,60
493,4,CCPU_163,Run,60
493,4,CCPU_164,Run,60
501,1,CCPU_116,Run,60
501,1,CCPU_117,Run,60
501,1,CCPU_118,Run,60
501,1,CCPU_119,Run,60
501,1,CCPU_120,Run,60
501,1,CCPU_121,Run,60
501,1,CCPU_122,Run,60
501,1,CCPU_123,Run,60
501,1,CCPU_124,Run,60
501,1,CCPU_125,Run,60
501,1,CCPU_126,Run,60
501,1,CCPU_127,Run,60
501,1,CCPU_128,Run,60
501,1,CCPU_129,Run,60
519,2,CCPU_130,Run,60
519,2,CCPU_131,Run,60
519,2,CCPU_132,Run,60
519,2,CCPU_133,Run,60
519,2,CCPU_134,Run,60
519,2,CCPU_135,Run,60
519,2,CCPU_136,Run,60
519,2,CCPU_137,Run,60
519,2,CCPU_138,Run,60
519,2,CCPU_139,Run,60
519,2,CCPU_140,Run,60
519,2,CCPU_141,Run,60
519,2,CCPU_142,Run,60
519,2,CCPU_143,Run,60
519,2,CCPU_144,Run,60
519,2,CCPU_145,Run,60
520,5,CCPU_165,Run,60
520,5,CCPU_166,Run,60
520,5,CCPU_167,Run,60
520,5,CCPU_168,Run,60
520,5,CCPU_169,Run,60
520,5,CCPU_170,Run,60
541,0,CCPU_100,Run,60
541,0,CCPU_101,Run,60
541,0,CCPU_102,Run,60
541,0,CCPU_103,Run,60
541,0,CCPU_104,Run,60
541,0,CCPU_105,Run,60
541,0,CCPU_106,Run,60
541,0,CCPU_107,Run,60
541,0,CCPU_108,Run,60
541,0,CCPU_109,Run,60
541,0,CCPU_110,Run,60
541,0,CCPU_111,Run,60
541,0,CCPU_112,Run,60
541,0,CCPU_113,Run,60
541,0,CCPU_114,Run,60
541,0,CCPU_115,Run,60
546,3,CCPU_146,Run,60
546,3,CCPU_147,Run,60
546,3,CCPU_148,Run,60
546,3,CCPU_149,Run,60
546,3,CCPU_150,Run,60
546,3,CCPU_151,Run,60
546,3,CCPU_152,Run,60
546,3,CCPU_153,Run,60
546,3,CCPU_154,Run,60
546,3,CCPU_155,Run,60
553,4,CCPU_156,Run,60
553,4,CCPU_157,Run,60
553,4,CCPU_158,Run,60
553,4,CCPU_159,Run,60
553,4,CCPU_160,Run,60
553,4,CCPU_161,Run,60
553,4,CCPU_162,Run,60
553,4,CCPU_163,Run,60
553,4,CCPU_164,Run,60
561,1,CCPU_116,Run,60
561,1,CCPU_117,Run,60
561,1,CCPU_118,Run,60
561,1,CCPU_119,Run,60
561,1,CCPU_120,Run,60
561,1,CCPU_121,Run,60
561,1,CCPU_122,Run,60
561,1,CCPU_123,Run,60
561,1,CCPU_124,Run,60
561,1,CCPU_125,Run,60
561,1,CCPU_126,Run,60
561,1,CCPU_127,Run,60
561,1,CCPU_128,Run,60
561,1,CCPU_129,Run,60
579,2,CCPU_130,Run,60
579,2,CCPU_131,Run,60
